#Table: J/AJ/155/201/table8.dat (http://cdsarc.cds.unistra.fr)
-------------------------------------------------------------------------------------------
SN                     |        MJD|    Phase|Filter|     mag|  e_mag|       Flux|       e_
SN2011fe               |55860.07135| 46.07135|WHIRCK|12.37023|0.06591|112696.3170|6833.3573
SN2011fe               |56020.49175|206.49175|WHIRCJ|17.96930|0.05134|   649.0554|  30.6680
SN2011fe               |55860.07410| 46.07410|WHIRCJ|13.08258|0.04065| 58474.4566|2188.0533
SN2011fe               |55860.06579| 46.06579|WHIRCH|11.91697|0.03557|171084.6261|5603.5862
SN2011fe               |56020.48346|206.48346|WHIRCH|17.89705|0.04836|   693.7143|  30.8798
SN2011fs               |55860.30238| 27.30238|WHIRCJ|17.13283|0.02471|  1402.3927|  31.9160
SN2011fs               |55881.14001| 48.14001|WHIRCH|16.97204|0.01474|  1626.2418|  22.0707
SN2011fs               |55860.29276| 27.29276|WHIRCH|16.14016|0.01675|  3498.9376|  53.9622
SN2011fs               |55881.16411| 48.16411|WHIRCJ|17.73779|0.01826|   803.3107|  13.5064
SN2011fs               |55904.09285| 71.09285|WHIRCH|17.77224|0.02872|   778.2218|  20.5774
SN2011fs               |55904.11262| 71.11262|WHIRCJ|19.21216|0.04188|   206.6021|   7.9659
SN2011fs               |55860.31167| 27.31167|WHIRCK|16.32620|0.06342|  2947.9490| 172.0056
SN2011fs               |55935.09024|102.09024|WHIRCJ|20.41071|0.21649|    68.5043|  13.4813
SN2011fs               |55935.06171|102.06171|WHIRCH|18.74504|0.07551|   317.6762|  22.0590
SN2011gf               |55860.22490| 33.22490|WHIRCH|17.32946|0.04498|  1170.0812|  48.4463
SN2011gf               |55881.05948| 54.05948|WHIRCH|17.96596|0.03303|   651.0534|  19.7979
SN2011gf               |55904.05770| 77.05770|WHIRCH|18.77189|0.16387|   309.9150|  46.4227
SN2011gf               |55860.21079| 33.21079|WHIRCJ|18.33066|0.04367|   465.3028|  18.7047
SN2011gf               |55881.07449| 54.07449|WHIRCJ|19.13042|0.04104|   222.7566|   8.4169
SN2011io               |55904.15409| 10.15409|WHIRCJ|19.14274|0.04703|   220.2432|   9.5348
SN2011io               |55904.13970| 10.13970|WHIRCH|18.73809|0.04444|   319.7168|  13.0789
SN2011iy               |56020.36359|124.36359|WHIRCH|17.24135|0.05255|  1269.0003|  61.3719
SN2011iy               |56020.38029|124.38029|WHIRCJ|18.24914|0.09101|   501.5825|  41.9459
SN2011jh               |56020.33161| 91.33161|WHIRCH|18.67751|0.17576|   338.0610|  54.2536
SN2011jh               |56020.34863| 91.34863|WHIRCJ|20.43959|0.56186|    66.7057|  31.7362
SN2012bh               |56020.27066|  4.27066|WHIRCH|17.27685|0.01679|  1228.1745|  18.9957
SN2012bh               |56020.27890|  4.27890|WHIRCJ|17.22727|0.01548|  1285.5605|  18.3324
SN2012bo               |56020.40244| -0.59756|WHIRCH|16.37131|0.04600|  2827.9797| 119.7405
SN2012bo               |56020.40716| -0.59284|WHIRCJ|16.43152|0.03139|  2675.4170|  77.3249
SN2012bp               |56020.51105|  7.51105|WHIRCJ|17.73159|0.02630|   807.9143|  19.5665
SN2012bp               |56020.50536|  7.50536|WHIRCH|17.51160|0.02206|   989.3704|  20.0956
SN2012em               |56196.21274| 15.21274|WHIRCJ|18.97292|0.03439|   257.5320|   8.1553
SN2012em               |56196.18464| 15.18464|WHIRCH|18.58777|0.04301|   367.1903|  14.5369
SN2012fk               |56234.32294| 11.32294|WHIRCH|17.83844|0.01879|   732.1888|  12.6733
SN2012fk               |56257.22896| 34.22896|WHIRCH|18.70868|0.03667|   328.4954|  11.0898
SN2012fk               |56262.29933| 39.29933|WHIRCH|19.09234|0.03433|   230.7093|   7.2915
SN2012fk               |56234.33988| 11.33988|WHIRCJ|18.67895|0.02360|   337.6132|   7.3387
SN2012fk               |56257.24358| 34.24358|WHIRCJ|19.40700|0.05636|   172.6626|   8.9547
SN2012fr               |56234.30669| -5.69331|WHIRCH|13.30711|0.03665| 47550.7993|1604.6337
SN2012fr               |56234.31523| -5.68477|WHIRCJ|13.02204|0.03573| 61827.9113|2033.7157
SN2013ar               |56378.18000|  4.18000|WHIRCJ|21.61015|0.32937|    22.6955|   6.6812
SN2013ar               |56378.14022|  4.14022|WHIRCH|21.41520|0.37869|    27.1595|   9.1066
SN2013ar               |56403.13002| 29.13002|WHIRCH|21.56730|0.55557|    23.6092|  11.1263
SN2013ar               |56412.18302| 38.18302|WHIRCJ|22.13422|0.46178|    14.0059|   5.6220
SN2013ar               |56412.14117| 38.14117|WHIRCH|21.29545|0.49868|    30.3263|  13.0255
SN2013bs               |56435.47398| 32.47398|WHIRCJ|18.45282|0.05032|   415.7894|  19.2559
SN2013bs               |56457.46418| 54.46418|WHIRCJ|20.31953|0.27680|    74.5051|  18.5933
